Crash_ID,Crash_Datetime,Crash_Speed_Limit,Road_Algn_ID,Surf_Cond_ID,Wthr_Cond_ID,Light_Cond_ID,Crash_Sev_ID,Damaged_Property,Death_Cnt,Tot_Injry_Cnt,Prsn_Injry_Sev_ID,Prsn_Ejct_ID,Prsn_Airbag_ID,Rpt_Street_Name,Rpt_Sec_Hwy_Num,Crash_Time,risk_level
18039324,1/1/2021 10:50,65,3,1,1,1,1,,0,0,5,0,2,IH 10 W,410,2,2
18039747,1/1/2021 17:55,65,3,1,1,1,1,,0,0,5,0,2,IH 10 W,1604,4,2
18039526,1/2/2021 10:03,35,1,1,1,1,1,,0,0,5,0,2,NACOGDOCHES,1604,2,1
18047661,1/2/2021 16:00,55,2,1,1,1,1,,0,0,0,0,0,IH 10 W,,4,1
18042419,1/3/2021 7:15,5,1,0,0,0,0,YELLOW POLE RIPPED OUT FROM THE CONCRETE,0,0,0,0,0,1604 N,1604,4,1
18046580,1/3/2021 8:15,45,1,1,1,1,3,,0,1,5,0,2,BANDERA RD,1604,4,2
18042798,1/3/2021 12:48,45,1,1,1,1,3,,0,2,3,0,3,IH 10 W,,2,2
18044792,1/3/2021 18:27,70,1,1,1,1,3,,0,1,1,0,3,1604,1604,4,2
18041041,1/3/2021 20:07,25,1,1,1,3,1,,0,0,5,0,2,BANDERA,1604,2,1
18047791,1/4/2021 17:30,65,1,1,1,3,1,,0,0,0,0,0,IH 10 W,,4,1
18052649,1/5/2021 14:40,45,1,1,1,1,3,GUARD RAIL ALONG WITH EXTRUDING TERMINAL,0,1,3,0,2,151,1604,3,2
18047482,1/5/2021 16:15,45,2,1,1,1,3,,0,1,0,0,0,OSCAR WOODS PLACE,1604,4,2
18047867,1/6/2021 7:00,55,2,2,2,4,1,,0,0,0,0,0,NOT REPORTED,1604,4,2
18049096,1/6/2021 16:45,45,1,2,1,1,1,,0,0,5,0,2,IH 10 W,,4,2
18073055,1/6/2021 18:00,10,1,1,1,1,0,,0,0,0,0,0,PRIVATE,1604,4,1
18048683,1/6/2021 18:19,35,1,1,1,3,1,,0,0,5,0,2,MILITARY,1604,4,1
18049098,1/6/2021 21:38,50,1,1,1,3,2,,0,1,2,0,3,IH 10 W,,2,2
18047705,1/6/2021 22:53,50,1,1,1,3,1,,0,0,0,0,0,1604,1604,1,1
18049326,1/7/2021 2:21,5,1,1,1,3,0,,0,0,0,0,0,UTSA,,1,1
18057325,1/7/2021 3:21,70,1,1,1,4,1,,0,0,5,0,2,NOT REPORTED,1604,1,1
